"123,CASWELL HALL,CASWELL FL 1S,CASWELL 102,CASWELL 102,CASWELL 102-1,Double,,CoEd,24-25 SubstanceFree,"
"124,CASWELL HALL,CASWELL FL 1S,CASWELL 102,CASWELL 102,CASWELL 102-2,Double,,CoEd,24-25 SubstanceFree,"
"125,CASWELL HALL,CASWELL FL 1S,CASWELL 103,CASWELL 103,CASWELL 103-1,Double,,CoEd,24-25 SubstanceFree,"
"126,CASWELL HALL,CASWELL FL 1S,CASWELL 103,CASWELL 103,CASWELL 103-2,Double,,CoEd,24-25 SubstanceFree,"
"127,CASWELL HALL,CASWELL FL 1S,CASWELL 104,CASWELL 104,CASWELL 104-1,Double,,CoEd,24-25 SubstanceFree,"
"128,CASWELL HALL,CASWELL FL 1S,CASWELL 104,CASWELL 104,CASWELL 104-2,Double,,CoEd,24-25 SubstanceFree,"
"129,CASWELL HALL,CASWELL FL 1M,CASWELL 105,CASWELL 105,CASWELL 105-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"130,CASWELL HALL,CASWELL FL 1M,CASWELL 105,CASWELL 105,CASWELL 105-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"131,CASWELL HALL,CASWELL FL 1M,CASWELL 106,CASWELL 106,CASWELL 106-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"132,CASWELL HALL,CASWELL FL 1M,CASWELL 106,CASWELL 106,CASWELL 106-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"133,CASWELL HALL,CASWELL FL 1M,CASWELL 107,CASWELL 107,CASWELL 107-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"134,CASWELL HALL,CASWELL FL 1M,CASWELL 107,CASWELL 107,CASWELL 107-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"135,CASWELL HALL,CASWELL FL 1M,CASWELL 108,CASWELL 108,CASWELL 108-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"136,CASWELL HALL,CASWELL FL 1M,CASWELL 108,CASWELL 108,CASWELL 108-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"137,CASWELL HALL,CASWELL FL 1N,CASWELL 109,CASWELL 109,CASWELL 109-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"138,CASWELL HALL,CASWELL FL 1N,CASWELL 109,CASWELL 109,CASWELL 109-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"139,CASWELL HALL,CASWELL FL 1N,CASWELL 110,CASWELL 110,CASWELL 110-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"140,CASWELL HALL,CASWELL FL 1N,CASWELL 110,CASWELL 110,CASWELL 110-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"141,CASWELL HALL,CASWELL FL 1N,CASWELL 111,CASWELL 111,CASWELL 111-1,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"142,CASWELL HALL,CASWELL FL 1N,CASWELL 111,CASWELL 111,CASWELL 111-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"143,CASWELL HALL,CASWELL FL 1N,CASWELL 112,CASWELL 112,CASWELL 112-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"144,CASWELL HALL,CASWELL FL 1N,CASWELL 112,CASWELL 112,CASWELL 112-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"145,CASWELL HALL,CASWELL FL 2S,CASWELL 201,CASWELL 201,CASWELL 201-1,Double,,CoEd,24-25 SubstanceFree,"
"146,CASWELL HALL,CASWELL FL 2S,CASWELL 201,CASWELL 201,CASWELL 201-2,Double,,CoEd,24-25 SubstanceFree,"
"147,CASWELL HALL,CASWELL FL 2S,CASWELL 202,CASWELL 202,CASWELL 202-1,Double,,CoEd,24-25 SubstanceFree,"
"148,CASWELL HALL,CASWELL FL 2S,CASWELL 202,CASWELL 202,CASWELL 202-2,Double,,CoEd,24-25 SubstanceFree,"
"149,CASWELL HALL,CASWELL FL 2S,CASWELL 203,CASWELL 203,CASWELL 203-1,Double,,CoEd,24-25 SubstanceFree,"
"150,CASWELL HALL,CASWELL FL 2S,CASWELL 203,CASWELL 203,CASWELL 203-2,Double,,CoEd,24-25 SubstanceFree,"
"151,CASWELL HALL,CASWELL FL 2S,CASWELL 204,CASWELL 204,CASWELL 204-1,Double,,CoEd,24-25 SubstanceFree,"
"152,CASWELL HALL,CASWELL FL 2S,CASWELL 204,CASWELL 204,CASWELL 204-2,Double,,CoEd,24-25 SubstanceFree,"
"153,CASWELL HALL,CASWELL FL 2M,CASWELL 205,CASWELL 205,CASWELL 205-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"154,CASWELL HALL,CASWELL FL 2M,CASWELL 205,CASWELL 205,CASWELL 205-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"155,CASWELL HALL,CASWELL FL 2M,CASWELL 206,CASWELL 206,CASWELL 206-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"156,CASWELL HALL,CASWELL FL 2M,CASWELL 206,CASWELL 206,CASWELL 206-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"157,CASWELL HALL,CASWELL FL 2M,CASWELL 207,CASWELL 207,CASWELL 207-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"158,CASWELL HALL,CASWELL FL 2M,CASWELL 207,CASWELL 207,CASWELL 207-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"159,CASWELL HALL,CASWELL FL 2M,CASWELL 208,CASWELL 208,CASWELL 208-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"160,CASWELL HALL,CASWELL FL 2M,CASWELL 208,CASWELL 208,CASWELL 208-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"161,CASWELL HALL,CASWELL FL 2N,CASWELL 209,CASWELL 209,CASWELL 209-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"162,CASWELL HALL,CASWELL FL 2N,CASWELL 209,CASWELL 209,CASWELL 209-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"163,CASWELL HALL,CASWELL FL 2N,CASWELL 210,CASWELL 210,CASWELL 210-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"164,CASWELL HALL,CASWELL FL 2N,CASWELL 210,CASWELL 210,CASWELL 210-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"165,CASWELL HALL,CASWELL FL 2N,CASWELL 211,CASWELL 211,CASWELL 211-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"166,CASWELL HALL,CASWELL FL 2N,CASWELL 211,CASWELL 211,CASWELL 211-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"167,CASWELL HALL,CASWELL FL 2N,CASWELL 212,CASWELL 212,CASWELL 212-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"168,CASWELL HALL,CASWELL FL 2N,CASWELL 212,CASWELL 212,CASWELL 212-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"169,CASWELL HALL,CASWELL FL 3S,CASWELL 301,CASWELL 301,CASWELL 301-1,Double,,CoEd,24-25 SubstanceFree,"
"170,CASWELL HALL,CASWELL FL 3S,CASWELL 301,CASWELL 301,CASWELL 301-2,Double,,CoEd,24-25 SubstanceFree,"
"171,CASWELL HALL,CASWELL FL 3S,CASWELL 302,CASWELL 302,CASWELL 302-1,Double,,CoEd,24-25 SubstanceFree,"
"172,CASWELL HALL,CASWELL FL 3S,CASWELL 302,CASWELL 302,CASWELL 302-2,Double,,CoEd,24-25 SubstanceFree,"
"173,CASWELL HALL,CASWELL FL 3S,CASWELL 303,CASWELL 303,CASWELL 303-1,Double,,CoEd,24-25 SubstanceFree,"
"174,CASWELL HALL,CASWELL FL 3S,CASWELL 303,CASWELL 303,CASWELL 303-2,Double,,CoEd,24-25 SubstanceFree,"
"175,CASWELL HALL,CASWELL FL 3M,CASWELL 305,CASWELL 305,CASWELL 305-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"176,CASWELL HALL,CASWELL FL 3M,CASWELL 305,CASWELL 305,CASWELL 305-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"177,CASWELL HALL,CASWELL FL 3M,CASWELL 306,CASWELL 306,CASWELL 306-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"178,CASWELL HALL,CASWELL FL 3M,CASWELL 306,CASWELL 306,CASWELL 306-2,Double,,CoEd,24-25 SpringGeneralSelection,"
